File,Q_cms,S_p,T_cm,x_m,h_cm,z_cm,air,notes
Run1A_01.dat,0.099,0.5,7.8,5.12,12.5,1.7,0,
Run1A_02.dat,0.099,0.5,7.8,5.12,12.5,2.7,0,
Run1A_03.dat,0.099,0.5,7.8,5.12,12.5,3.7,0,
Run1A_04.dat,0.099,0.5,7.8,5.12,12.5,5.7,0,
Run1A_05.dat,0.099,0.5,7.8,5.12,12.5,7.7,0,
Run1A_06.dat,0.099,0.5,7.8,5.12,12.5,10.7,1,Top 2 receivers in air
Run1A_07.dat,0.099,0.5,7.8,4.00,8.5,2.3,NaN,no notes on air
Run1A_08.dat,0.099,0.5,7.8,3.85,3.4,0.4,NaN,no notes on air
Run1A_09.dat,0.099,0.5,7.8,3.70,3.4,1.6,NaN,no notes on air
Run1A_10.dat,0.099,0.5,7.8,3.50,9.9,4.1,NaN,no notes on air
Run1B_01.dat,0.113,0.5,7.8,5.12,12.8,1.7,0,h_wall 13.8
Run1B_02.dat,0.113,0.5,7.8,5.12,12.8,2.7,0,h_wall 13.8
Run1B_03.dat,0.113,0.5,7.8,5.12,12.8,3.7,0,h_wall 13.8
Run1B_04.dat,0.113,0.5,7.8,5.12,12.8,5.7,0,h_wall 13.8
Run1B_05.dat,0.113,0.5,7.8,5.12,12.8,7.7,0,h_wall 13.8
Run1B_06.dat,0.113,0.5,7.8,5.12,12.8,10.7,1,Top 2 receivers in air
Run1B_07.dat,0.113,0.5,7.8,4.00,9.4,3,NaN,no notes on air
Run1B_08.dat,0.113,0.5,7.8,3.85,3.5,0.2,NaN,no notes on air
Run1B_09.dat,0.113,0.5,7.8,3.70,3.6,1.1,NaN,no notes on air
Run1B_10.dat,0.113,0.5,7.8,3.50,12.3,5,NaN,no notes on air
Run1B_11.dat,0.113,0.5,7.8,3.4,NaN,4.1,NaN,"did not take water surface measurement here, no notes on air"
Run1C_01.dat,0.126,0.5,7.8,5.12,14.5,1.7,0,
Run1C_02.dat,0.126,0.5,7.8,5.12,14.5,2.7,0,
Run1C_03.dat,0.126,0.5,7.8,5.12,14.5,3.7,0,
Run1C_04.dat,0.126,0.5,7.8,5.12,14.5,5.7,0,
Run1C_05.dat,0.126,0.5,7.8,5.12,14.5,7.7,0,
Run1C_06.dat,0.126,0.5,7.8,5.12,14.5,10.7,1,Top 1 receiver in air
Run1C_07.dat,0.126,0.5,7.8,4.10,14.3,6.8,NaN,no notes on air
Run1C_08.dat,0.126,0.5,7.8,4.00,10,3.9,NaN,no notes on air
Run1C_09.dat,0.126,0.5,7.8,3.85,5,0.8,NaN,no notes on air
Run1C_10.dat,0.126,0.5,7.8,3.70,5.6,1.6,NaN,no notes on air
Run1C_11.dat,0.126,0.5,7.8,3.50,14,4.5,NaN,no notes on air
Run1C_12.dat,0.126,0.5,7.8,2.61,14.2,4.5,NaN,no notes on air
Run1D_01.dat,0.139,0.5,7.8,5.12,15.4,1.7,0,h taken as h_wall
Run1D_02.dat,0.139,0.5,7.8,5.12,15.4,2.7,0,h taken as h_wall
Run1D_03.dat,0.139,0.5,7.8,5.12,15.4,3.7,0,h taken as h_wall
Run1D_04.dat,0.139,0.5,7.8,5.12,15.4,5.7,0,h taken as h_wall
Run1D_05.dat,0.139,0.5,7.8,5.12,15.4,7.7,0,h taken as h_wall
Run1D_06.dat,0.139,0.5,7.8,5.12,15.4,10.7,0,h taken as h_wall
Run1D_07.dat,0.139,0.5,7.8,4.00,11.3,4.5,NaN,no notes on air
Run1D_08.dat,0.139,0.5,7.8,3.85,5.7,1.3,NaN,no notes on air
Run1D_09.dat,0.139,0.5,7.8,3.70,6.2,2.1,NaN,no notes on air
Run1D_10.dat,0.139,0.5,7.8,3.50,14.7,5.2,NaN,no notes on air
